ProductName,ProductVersion,FileDescription,FileVersion,Comments,File_Size,Last_Modify_Time
QXGXRobot.Net.dll,,,,目录中无QXGXRobot.Net.dll文件
QXAtmosphere.NET.dll,,,,目录中无QXAtmosphere.NET.dll文件
QXXunFeiVoice.Net.dll,,,,目录中无QXXunFeiVoice.Net.dll文件
QXRobotFaceShow.Net.dll,,,,目录中无QXRobotFaceShow.Net.dll文件
QXPhone.Net.dll,,,,目录中无QXPhone.Net.dll文件
QXNoise.NET.dll,,,,目录中无QXNoise.NET.dll文件
BCADAM.NET,2.0.0.0,BCADAM.NET,2.0.0.0,no information.,5.5KB,2016-08-03 08:45:07
BCADAM.NET,1.0.0.0,BCADAM.NET,1.0.0.0,no information.,7.0KB,2014-12-24 17:59:16
facetest.dll,,,,目录中无facetest.dll文件
QXTouchHuman.Net.dll,,,,目录中无QXTouchHuman.Net.dll文件
QXAutoCruise.Net.dll,,,,目录中无QXAutoCruise.Net.dll文件
QXWelcome.NET.dll,,,,目录中无QXWelcome.NET.dll文件
ProductName,ProductVersion,FileDescription,FileVersion,Comments,File_Size,Last_Modify_Time
QXGXRobot.Net.dll,,,,目录中无QXGXRobot.Net.dll文件
QXAtmosphere.NET.dll,,,,目录中无QXAtmosphere.NET.dll文件
QXXunFeiVoice.Net.dll,,,,目录中无QXXunFeiVoice.Net.dll文件
QXRobotFaceShow.Net.dll,,,,目录中无QXRobotFaceShow.Net.dll文件
QXPhone.Net.dll,,,,目录中无QXPhone.Net.dll文件
QXNoise.NET.dll,,,,目录中无QXNoise.NET.dll文件
BCADAM.NET,2.0.0.0,BCADAM.NET,2.0.0.0,no information.,5.5KB,2016-08-03 08:45:07
BCADAM.NET,1.0.0.0,BCADAM.NET,1.0.0.0,no information.,7.0KB,2014-12-24 17:59:16
facetest.dll,,,,目录中无facetest.dll文件
QXTouchHuman.Net.dll,,,,目录中无QXTouchHuman.Net.dll文件
QXAutoCruise.Net.dll,,,,目录中无QXAutoCruise.Net.dll文件
QXWelcome.NET.dll,,,,目录中无QXWelcome.NET.dll文件
